Designator,Mid X,Mid Y,Rotation,Layer
SW12,111.78,-117.35,0.0,top
SW7,130.78,-155.35,0.0,top
SW11,130.78,-136.35,0.0,top
SW15,130.78,-98.35,0.0,top
SW3,92.78,-117.35,0.0,top
SW13,92.78,-98.35,0.0,top
SW1,111.78,-79.35,0.0,top
SW10,149.78,-107.85,0.0,top
SW2,111.78,-136.35,0.0,top
SW18,73.772102,-164.542102,-135.0,top
SW8,102.28,-155.35,0.0,top
BT1,71.34,-153.48,90.0,top
SW6,92.78,-79.35,0.0,top
SW9,149.81,-145.8,0.0,top
BT2,71.34,-94.48,90.0,top
SW14,130.78,-79.35,0.0,top
J2,94.24,-52.43,0.0,top
SW17,92.78,-136.35,0.0,top
SW5,111.78,-98.35,0.0,top
J1,122.24,-52.43,0.0,top
SW16,149.78,-79.35,0.0,top
SW4,130.78,-117.35,0.0,top
U1,132.19,-58.98,90.0,bottom
